,DATE,GDPC1
0,2000-01-01,12935.252
1,2000-04-01,13170.749
2,2000-07-01,13183.89
3,2000-10-01,13262.25
4,2001-01-01,13219.251
5,2001-04-01,13301.394
6,2001-07-01,13248.142
7,2001-10-01,13284.881
8,2002-01-01,13394.91
9,2002-04-01,13477.356
10,2002-07-01,13531.741
11,2002-10-01,13549.421
12,2003-01-01,13619.434
13,2003-04-01,13741.107
14,2003-07-01,13970.157
15,2003-10-01,14131.379
16,2004-01-01,14212.34
17,2004-04-01,14323.017
18,2004-07-01,14457.832
19,2004-10-01,14605.595
20,2005-01-01,14767.846
21,2005-04-01,14839.707
22,2005-07-01,14956.291
23,2005-10-01,15041.232
24,2006-01-01,15244.088
25,2006-04-01,15281.525
26,2006-07-01,15304.517
27,2006-10-01,15433.643
28,2007-01-01,15478.956
29,2007-04-01,15577.779
30,2007-07-01,15671.605
31,2007-10-01,15767.146
32,2008-01-01,15702.906
33,2008-04-01,15792.773
34,2008-07-01,15709.562
35,2008-10-01,15366.607
36,2009-01-01,15187.475
37,2009-04-01,15161.772
38,2009-07-01,15216.647
39,2009-10-01,15379.155
40,2010-01-01,15456.059
41,2010-04-01,15605.628
42,2010-07-01,15726.282
43,2010-10-01,15807.995
44,2011-01-01,15769.911
45,2011-04-01,15876.839
46,2011-07-01,15870.684
47,2011-10-01,16048.702
48,2012-01-01,16179.968
49,2012-04-01,16253.726
50,2012-07-01,16282.151
51,2012-10-01,16300.035
52,2013-01-01,16441.485
53,2013-04-01,16464.402
54,2013-07-01,16594.743
55,2013-10-01,16712.76
56,2014-01-01,16654.247
57,2014-04-01,16868.109
58,2014-07-01,17064.616
59,2014-10-01,17141.235
60,2015-01-01,17280.647
61,2015-04-01,17380.875
62,2015-07-01,17437.08
63,2015-10-01,17462.579
64,2016-01-01,17565.465
65,2016-04-01,17618.581
66,2016-07-01,17724.489
67,2016-10-01,17812.56
68,2017-01-01,17896.623
69,2017-04-01,17996.802
70,2017-07-01,18126.226
71,2017-10-01,18296.685
72,2018-01-01,18436.262
73,2018-04-01,18590.004
74,2018-07-01,18679.599
75,2018-10-01,18721.281
76,2019-01-01,18833.195
77,2019-04-01,18982.528
78,2019-07-01,19112.653
79,2019-10-01,19202.31
80,2020-01-01,18951.992
81,2020-04-01,17258.205
82,2020-07-01,18560.774
83,2020-10-01,18767.778
